date,Total_sub
1,37
2,98
3,231
4,245
5,92
6,135
7,290
8,103
9,35
10,214
11,30
12,273
13,181
14,80
15,80
16,262
17,70
18,247
19,200
20,321
21,221
22,40
23,29
24,23
25,321
26,100
