operator_name,total_sub,active_sub,disable_sub,mbb,fbb,active_mbb,disable_mbb,active_fbb,disable_fbb,total_fee_charge_mbb,total_fee_charge_fbb,total_fee_estimate,total_collected_fee_mbb,total_collected_fee_fbb,total_collected_fee
LTC,2202265,2158465,43800,2044456,157809,2004230,40226,154235,3574,6012690000,771175000,6783865000,5999985000,767740000,6767725000
TPLUS,985241,914563,70678,985241,0,914563,70678,0,0,2743689000,0,2743689000,2733063000,0,2733063000
UNITEL,3245854,3152546,93308,3098766,147088,3009981,88785,142565,4523,9029943000,712825000,9742768000,9013047000,700155000,9713202000
ETL,1025456,975623,49833,1010437,15019,970148,40289,5475,9544,2910444000,27375000,2937819000,2901444000,27090000,2928534000
BEST,3958,3942,16,3044,914,3028,16,914,0,9084000,4570000,13654000,9081000,4495000,13576000
